,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
mcm_tab_spells,SPELLS,ЗАКЛИНАНИЯ,FEITIÇOS,HECHIZOS,ZAUBER,SORTS,INCANTESIMI,CZARY,法术,呪文,주문,,,
mcm_tab_items,ITEMS,ПРЕДМЕТЫ,ITENS,OBJETOS,GEGENST.,OBJETS,OGGETTI,PRZEDMIOTY,物品,アイテム,아이템,,,
mcm_tab_perks,PERKS,ПЕРКИ,VANTAGENS,VENTAJAS,PERKS,ATOUTS,VANTAGGI,PERKI,天赋,パーク,퍽,,,
mcm_slot,SLOT,СЛОТ,ESPAÇO,RANURA,SLOT,EMPL.,SLOT,SLOT,槽位,スロット,슬롯,,,
mcm_delete,DELETE,УДАЛИТЬ,EXCLUIR,BORRAR,LÖSCHEN,SUPPR.,ELIMINA,USUŃ,删除,削除,삭제,,,
mcm_empty,Empty,Пусто,Vazio,Vacío,Leer,Vide,Vuoto,Pusto,空,空,비어 있음,,,
mcm_search_placeholder,Search...,Поиск...,Buscar...,Buscar...,Suchen...,Rechercher...,Cerca...,Szukaj...,搜索...,検索...,검색...,,,
mcm_left_spawn,LMB: spawn nearby,ЛКМ: создать рядом,LMB: criar perto,LMB: generar cerca,LMB: in der Nähe erzeugen,Clic G: faire apparaître à côté,LMB: genera vicino,LPM: utwórz obok,左键：在附近生成,左クリック：近くに生成,좌클릭: 근처에 생성,,,
mcm_creature_drag_spawn,DRAG: spawn at cursor,ПЕРЕНОС: создать под курсором,ARRASTAR: criar no cursor,ARRASTRAR: generar en el cursor,ZIEHEN: am Zeiger erzeugen,GLISSER : créer au curseur,TRASCINA: genera al cursore,PRZECIĄGNIJ: utwórz przy kursorze,拖动：在光标处生成,ドラッグ：カーソル位置に生成,드래그: 커서 위치에 생성,,,
mcm_spell_filter_all,ALL,ВСЕ,TODOS,TODOS,ALLE,TOUS,TUTTI,WSZYSTKIE,全部,すべて,전체,,,
mcm_spell_filter_projectiles,PROJECT.,СНАРЯДЫ,PROJÉTEIS,PROYECT.,PROJEKT.,PROJECT.,PROIETT.,POCISKI,投射物,発射物,발사체,,,
mcm_spell_filter_static,STATIC,СТАТИЧ.,ESTÁTICOS,ESTÁTICOS,STATISCH,STATIQ.,STATICI,STATYCZ.,静态,静的,고정,,,
mcm_spell_filter_modifiers,MODIFIERS,МОДИФ.,MODIFIC.,MODIFIC.,MODIF.,MODIF.,MODIF.,MODYF.,修饰,補正,수정,,,
mcm_spell_filter_multicasts,MULTI,МУЛЬТИ,MULTI,MULTI,MULTI,MULTI,MULTI,MULTI,多重,マルチ,멀티,,,
mcm_spell_filter_materials,MATERIAL,МАТЕР.,MATERIAL,MATERIAL,MATERIAL,MATÉRIAU,MATERIA,MATERIAŁ,材料,物質,물질,,,
mcm_spell_filter_other,OTHER,ДРУГИЕ,OUTROS,OTROS,ANDERE,AUTRES,ALTRO,INNE,其他,その他,기타,,,
mcm_spell_filter_utility,UTILITY,УТИЛ.,UTILID.,UTILIDAD,HILFE,UTILITÉ,UTILITÀ,UŻYTK.,实用,補助,유틸,,,
mcm_spell_filter_passive,PASSIVE,ПАССИВ.,PASSIVO,PASIVO,PASSIV,PASSIF,PASSIVO,PASYWNE,被动,パッシブ,패시브,,,
mcm_item_filter_all,ALL,ВСЕ,TODOS,TODOS,ALLE,TOUS,TUTTI,WSZYSTKIE,全部,すべて,전체,,,
